,A,Enterobacterales (taxid 91347),Enterobacteriaceae (taxid 543),Escherichia coli (taxid 562),Gammaproteobacteria (taxid 1236),Salmonella (taxid 590),Salmonella enterica (taxid 28901),Salmonella enterica subsp. enterica (taxid 59201),Salmonella enterica subsp. enterica serovar Rubislaw (taxid 598),Salmonella enterica subsp. enterica serovar Typhimurium (taxid 90371),Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S (taxid 588858),Streptococcus pneumoniae (taxid 1313),Unclassified Contamination,Non Bacterial
0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.13,0,0,0,0,0,0,2,0,0,0,0,0,0,0
0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.17,0,0,0,0,0,0,0,0,2,0,0,0,0,0
0.18,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.21,0,0,0,0,0,0,2,0,0,0,0,0,0,0
0.22,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.26,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.28,0,0,4,2,0,0,0,0,0,0,0,0,0,0
0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.31,0,0,5,0,0,3,0,0,0,0,0,0,0,0
0.32,0,0,8,0,0,6,3,0,0,0,0,0,0,0
0.33,0,9,9,0,0,0,0,0,0,0,0,0,0,0
0.34,0,13,0,0,3,1,0,0,0,0,0,0,0,0
0.35,0,10,12,0,0,10,0,0,0,0,0,0,0,0
0.36,0,9,8,0,0,11,0,0,0,0,0,0,0,0
0.37,0,12,18,0,0,15,0,0,0,0,2,0,0,0
0.38,0,10,20,0,0,27,0,0,0,0,0,0,0,0
0.39,0,12,9,0,0,40,0,0,0,0,0,0,0,0
0.4,0,8,23,0,0,32,2,0,0,0,0,0,0,0
0.41,0,12,24,0,1,28,0,0,0,0,0,0,0,0
0.42,0,7,28,0,0,32,3,0,0,0,0,0,0,0
0.43,0,15,18,0,1,41,1,0,0,0,0,0,0,0
0.44,0,3,25,0,0,60,1,0,0,0,0,0,0,0
0.45,0,9,26,1,0,44,4,0,0,0,0,0,0,0
0.46,0,0,24,0,0,46,2,0,0,0,0,0,0,0
0.47,0,3,33,0,0,70,1,0,0,0,0,0,0,0
0.48,0,0,30,0,0,60,4,0,0,0,0,0,0,0
0.49,0,0,27,0,0,55,0,0,0,0,0,0,0,0
0.5,0,16,17,0,0,75,4,0,0,0,0,0,0,0
0.51,0,10,30,0,0,107,14,0,0,0,0,0,0,0
